223	191	218.92	192.89
227	188	222.6	189.47
242	195	237.8	196.3
263	182	258.49	183.37
266	209	262	211
280	213	276.31	214.79
313	208	309.4	209.78
338	219	334	221
341	201	337.57	203.34
350	215	346	217
355	188	351.17	190.74
368	182	363.92	184.34
389	220	384.32	222.08
395	203	390.27	205.34
408	197	403.42	199.59
432	211	428.14	212.79
438	191	434.33	192.86
452	215	448.08	215.63
79	222	75.14	221.64
90	227	85.92	226.92
90	234	86.01	233.45
134	240	129.86	241.55
137	257	132.83	257.97
139	245	135.07	246.41
147	261	143.25	261.84
166	247	162	248
180	251	176.55	252.5
190	246	186.15	247.53
198	258	194.11	259.54
209	225	204.62	226.59
236	242	232.34	243.59
236	254	232.09	255.79
238	236	233.95	237.37
278	248	274.25	249.6
281	261	276.81	262.7
282	251	277.96	252.63
335	229	331.6	231.23
336	234	332.54	236.06
337	225	333.58	227.32
349	224	345.58	226.13
353	239	349.31	240.82
378	248	373.96	250.34
384	230	379.37	231.86
384	260	379.3	261.81
400	223	395.87	225.04
422	239	417.71	240.78
428	223	423.91	224.29
431	255	426	256
71	293	66.31	292.97
74	273	69.5	272.83
78	266	73.73	265.77
136	290	132.59	291.31
136	299	132.32	299.93
141	282	136.95	283.47
146	271	142.37	272.23
167	263	163.47	264.13
178	296	174.39	297.11
198	291	194.05	292.53
206	269	201.92	270.69
207	262	203.19	263.79
245	282	240	283
247	287	242.27	288.64
256	263	251.77	264.36
265	266	260.82	267.66
275	269	270.96	270.71
289	301	284.93	302.79
314	273	309.82	274.88
317	264	313.15	266.05
335	274	330.34	275.67
344	294	339.45	295.56
347	300	342	301
372	297	367.15	299.09
383	271	378.13	272.65
386	275	381	276
410	272	405.85	274.14
430	287	425.44	289.08
431	294	426.72	296.05
455	263	451.44	264.7
67	330	62.65	329.18
79	338	75	337
85	323	80.29	322.55
116	319	111.49	319.27
116	332	111.48	331.94
132	319	128.25	320.21
149	317	145.25	317.97
160	328	156.05	328.75
176	335	171.94	335.4
185	324	180.8	324.84
188	316	183.92	317.17
203	310	199.13	311.45
233	311	228.03	312.44
237	320	231.87	321.19
252	326	246.89	327.94
273	332	268.29	333.99
293	332	288.12	334.04
299	332	294.1	333.93
305	330	300.49	331.83
316	323	311.66	325.03
332	315	327.46	316.95
348	307	343.06	308.6
355	302	350.04	303.87
359	302	354.05	303.92
383	314	379	316
386	335	382.02	336.97
395	311	390.96	313.34
434	306	429.96	308.44
437	322	433	325
440	333	436.24	335.17
71	359	66.21	358.17
80	371	74.87	369.97
98	362	93.16	361.37
104	368	98.97	367.49
108	351	103.32	350.62
114	343	109.54	342.79
146	379	141.73	379.29
175	358	170.7	358.65
181	345	176.63	345.63
202	344	197.83	345.04
207	347	203	348.45
219	352	214.61	353.22
231	356	226.27	357.37
242	368	237.07	369.06
245	362	240.05	363.55
266	362	261.23	363.62
271	350	266.15	351.98
278	360	273.34	361.61
305	353	301	355
311	367	306.16	368.38
332	345	327	347
346	378	341.38	379.58
356	346	351.76	347.78
359	350	354.72	351.61
383	350	378.62	352.06
386	380	381.74	382.18
398	344	393.98	345.86
422	344	417.46	345.92
443	345	439	348
446	357	441.84	358.42
71	388	66.21	387
95	419	89.23	418.59
104	383	98.99	381.79
119	401	114.05	400.42
125	405	120.21	404.61
151	410	146.45	410.14
158	383	153.63	383
167	410	162.56	410.41
183	410	178.53	410.54
207	419	202.98	419.98
219	416	214.93	417.24
231	416	226.53	417.17
232	420	227.64	420.66
233	396	228.33	397.1
275	387	269.99	388.57
281	385	275.88	386.23
293	389	287.9	390.22
305	403	299.87	403.57
309	413	304	413.7
330	401	324.91	401.68
360	416	355.23	417.24
370	405	365.37	406.38
373	395	368.64	396.57
382	403	377	405
413	420	408.74	421.38
417	411	412.74	412.41
425	413	420.87	414.24
434	419	429.43	420.38
449	410	444.55	411.47
71	458	65.49	457.74
86	437	80.16	437.1
91	455	86.19	454.87
103	458	98.29	458.06
112	460	107.92	460.32
131	437	126.43	437.91
150	431	145.18	431.53
161	426	156.72	426.3
171	437	167.19	437.17
202	437	198.13	437.78
203	431	199.11	431.81
209	440	205.2	440.46
230	460	226.07	460.79
233	445	229.03	445.9
233	455	229.05	455.83
265	430	260.56	430.54
279	434	274	435
292	439	287.47	439.78
308	459	303.8	460.09
309	447	304.63	447.7
322	448	317.69	448.97
344	446	339.05	447.54
363	434	358.03	435.97
371	440	366.04	442.18
383	439	378.31	441.65
389	457	384.92	458.92
407	437	402.44	438.86
431	425	425.87	427.01
455	458	450	460
